ticker,cik,name,sic,simfin_industry_id,exchange,ipo_date,delist_date,capture_date
AFIN,1568162,"American Finance Trust, Inc",6798,999999,NASDAQ,19/07/2018,31/12/9998,30/09/2018
AFINO,1568162,"American Finance Trust, Inc",6798,999999,NASDAQ,15/12/2020,31/12/9998,30/09/2021
AFINP,1568162,"American Finance Trust, Inc",6798,999999,NASDAQ,22/03/2019,31/12/9998,30/09/2019
AFL,4977,AFLAC Inc,6321,104004,NYSE,19/07/1984,31/12/9998,30/09/2015
AFQ,1042046,AMERICAN FINANCIAL GROUP INC,6331,999999,NYSE,30/09/2010,07/10/2015,30/09/2016
AFSD,4977,AFLAC INC,6321,999999,NYSE,27/09/2012,10/01/2018,30/09/2018
AFSI,1365555,Amtrust Financial Services Inc,6331,104006,NASDAQ,13/11/2006,29/11/2018,30/09/2019
AFW,1042046,AMERICAN FINANCIAL GROUP INC,6331,999999,NYSE,14/06/2012,23/06/2017,30/09/2017
AGCO,880266,AGCO Corp,3523,100009,NYSE,20/04/1992,31/12/9998,30/09/2015
AGHI,9000006,NVS,9999,100001,NVS,01/01/1900,01/01/1900,30/09/2015
AGI,1178819,Alamos Gold Inc Class A,1040,110004,NYSE,13/02/2009,31/12/9998,30/09/2015
AGIO,1439222,Agios Pharmaceuticals Inc,2834,106002,NASDAQ,24/07/2013,31/12/9998,30/09/2015
AGLE,1636282,Aeglea BioTherapeutics,2834,106002,NASDAQ,07/04/2016,31/12/9998,30/09/2016
AGM,845877,Federal Agricultural Mortgage Corp Class C,6111,104002,NYSE,18/08/1995,31/12/9998,30/09/2015
AGN,1578845,Allergan Inc,2834,106005,NYSE,22/06/1989,08/05/2020,30/09/2020
AGN_old,1578845,NVS,9999,106005,NVS,01/01/1900,01/01/1900,30/09/2015
AGNC,1423689,American Capital Agency Corp,6798,109001,NASDAQ,15/05/2008,31/12/9998,30/09/2015
AGNCB,1423689,AGNC Investment Corp.,6798,999999,NASDAQ,09/05/2014,25/11/2019,30/09/2020
AGNCM,1423689,AGNC Investment Corp.,6798,999999,NASDAQ,28/02/2019,31/12/9998,30/09/2019
AGNCN,1423689,AGNC Investment Corp.,6798,999999,NASDAQ,16/08/2017,31/12/9998,30/09/2017
AGNCO,1423689,AGNC Investment Corp.,6798,999999,NASDAQ,27/09/2019,31/12/9998,30/09/2019
AGNCP,1423689,AGNC Investment Corp.,6798,999999,NASDAQ,05/02/2020,31/12/9998,30/09/2020
AGNCP,1423689,AGNC Investment Corp.,6798,999999,NASDAQ,02/04/2012,18/09/2017,30/09/2017
AGO,1273813,Assured Guaranty Ltd,6351,104013,NYSE,23/04/2004,31/12/9998,30/09/2015
AGR,1634997,AGERE SYSTEMS INC,4911,105001,NYSE,17/12/2015,31/12/9998,30/09/2016
AGX,100591,Argan Inc,1700,100003,NYSE,18/08/1995,31/12/9998,30/09/2015
AHH,1569187,Armada Hoffler Properties Inc,6500,109001,NYSE,08/05/2013,31/12/9998,30/09/2015
AHL,1267395,Aspen Insurance Holdings Ltd,6331,104006,NYSE,05/12/2003,15/02/2019,30/09/2019
AHPI,874710,Allied Healthcare Products Inc,3842,106004,NASDAQ,14/01/1992,31/12/9998,30/09/2015
AHS,1142750,AMN Healthcare Services Inc,9999,100011,NYSE,13/11/2001,26/10/2016,30/09/2017
AHT,1232582,Ashford Hospitality Trust Inc,6798,109001,NYSE,26/08/2003,31/12/9998,30/09/2015
AIG,5272,American International Group Inc,6331,104005,NYSE,07/09/1984,31/12/9998,30/09/2015
AIMC,1374535,Altra Industrial Motion Corp,3569,100001,NASDAQ,15/12/2006,31/12/9998,30/09/2015
AIMCV,1374535,Altra Industrial Motion Corp.,3569,999999,NASDAQ,15/12/2006,01/10/2018,30/09/2019
AIMT,1631650,Aimmune Therapeutics Inc,2834,106005,NASDAQ,06/08/2015,31/12/9998,30/09/2015
AIN,819793,Albany International Corp,2221,999999,NYSE,30/09/1987,31/12/9998,30/09/2015
AIR,1750,AAR Corp,3720,100008,NYSE,19/07/1984,31/12/9998,30/09/2015
AIRI,9000009,Air Industries Group,9999,100008,NYSE,05/10/2000,31/12/9998,30/09/2015
AIRM,816159,Air Methods Corp,4522,100010,NASDAQ,31/08/1987,24/04/2017,30/09/2017
AIT,109563,Applied Industrial Technologies Inc,5080,100005,NYSE,07/09/1984,31/12/9998,30/09/2015
AIV,922864,Apartment Investment and Management Company,6798,109001,NYSE,22/07/1994,31/12/9998,30/09/2015
AIZ,1267238,Assurant Inc,6321,104005,NYSE,05/02/2004,31/12/9998,30/09/2015
AIZN,1267238,"ASSURANT, INC.",6321,999999,NYSE,25/11/2020,31/12/9998,30/09/2020
AIZN,1267238,"ASSURANT, INC.",6399,999999,NYSE,25/11/2020,31/12/9998,30/09/2021
AJG,354190,Arthur J Gallagher Company,6411,104003,NYSE,07/09/1984,31/12/9998,30/09/2015
AJRD,40888,Aerojet Rocketdyne Holdings Inc,3760,100008,NYSE,02/02/1981,31/12/9998,30/09/2015
AJX,1614806,Great Ajax Corp,6798,109001,NYSE,13/02/2015,31/12/9998,30/09/2015
AKAM,1086222,Akamai Technologies Inc,7389,101003,NASDAQ,29/10/1999,31/12/9998,30/09/2015
AKAO,1301501,NVS,2834,106005,NVS,01/01/1900,01/01/1900,30/09/2015
AKR,899629,Acadia Realty Trust,6798,109001,NYSE,27/05/1993,31/12/9998,30/09/2015
AKRX,3116,NVS,2834,106005,NVS,01/01/1900,01/01/1900,30/09/2015
AKS,918160,AK Steel Holding Corp,3312,110007,NYSE,30/03/1994,13/03/2020,30/09/2020
AL,1487712,Air Lease Corp,7359,100007,NYSE,19/04/2011,31/12/9998,30/09/2015
ALB,915913,Albemarle Corp,2821,110001,NYSE,22/02/1994,31/12/9998,30/09/2015
ALCO,3545,Alico Inc,100,102002,NASDAQ,03/05/1973,31/12/9998,30/09/2015
ALDR,1423824,Alder Biopharmaceuticals Inc,2834,106005,NASDAQ,08/05/2014,22/10/2019,30/09/2020
ALE,66756,ALLETE Inc,4931,105001,NYSE,03/05/1973,31/12/9998,30/09/2015
ALEX,1545654,Alexander Baldwin Inc,6500,109001,NYSE,14/06/2012,31/12/9998,30/09/2015
ALG,897077,Alamo Group Inc,3523,100009,NYSE,19/03/1993,31/12/9998,30/09/2015
ALGN,1097149,Align Technology Inc,3842,106004,NASDAQ,30/01/2001,31/12/9998,30/09/2015
ALGT,1362468,Allegiant Travel Company,4512,100006,NASDAQ,08/12/2006,31/12/9998,30/09/2015
ALJ,1325955,Alon USA Energy Inc,2911,107001,NYSE,28/07/2005,10/07/2017,30/09/2017
ALJJ,1103926,ALJ Regional Holdings Inc,9999,100002,NASDAQ,03/04/1996,31/12/9998,30/09/2015
ALK,766421,Alaska Air Group Inc,4512,100006,NYSE,02/01/2001,31/12/9998,30/09/2015
ALKS,1520262,Alkermes plc,2834,106002,NASDAQ,16/07/1991,31/12/9998,30/09/2015
ALL,899051,The Allstate Corp,6331,104006,NYSE,03/06/1993,31/12/9998,30/09/2015
ALLE,1579241,Allegion PLC,7381,100007,NYSE,18/11/2013,31/12/9998,30/09/2015
ALLK,1564824,Allakos Inc,2834,106005,NASDAQ,19/07/2018,31/12/9998,30/09/2018
ALLO,1737287,Allogene Therapeutics Inc,2836,106002,NASDAQ,11/10/2018,31/12/9998,30/09/2019
ALLY,40729,Ally Financial Inc,6022,104002,NYSE,10/04/2014,31/12/9998,30/09/2015
ALNY,1178670,Alnylam Pharmaceuticals Inc,2834,106002,NASDAQ,01/06/2004,31/12/9998,30/09/2015
ALOG,6284,Analogic Corp,3825,101001,NASDAQ,07/09/1984,22/06/2018,30/09/2018
ALPN,1626199,Alpine Immune Sciences Inc,2834,106002,NASDAQ,17/06/2015,31/12/9998,30/09/2015
ALR,1145460,Alere Inc,2835,106001,NYSE,06/08/1996,19/10/2017,30/09/2018
ALRM,1459200,Alarmcom,7372,101003,NASDAQ,26/06/2015,31/12/9998,30/09/2015
ALSK,1089511,Alaska Communications Systems Group Inc,4813,108001,NASDAQ,18/11/1999,31/12/9998,30/09/2015
ALSN,1411207,Allison Transmission Holdings Inc,3714,103005,NYSE,15/03/2012,31/12/9998,30/09/2015
ALTR,1701732,Altair Engineering Inc,7372,101003,NASDAQ,01/11/2017,31/12/9998,30/09/2018
ALV,1034670,Autoliv Inc,3714,103005,NYSE,28/04/1997,31/12/9998,30/09/2015
ALX,3499,Alexanders Inc,6798,109001,NYSE,19/07/1984,31/12/9998,30/09/2015
ALXN,899866,Alexion Pharmaceuticals Inc,2834,106002,NASDAQ,28/02/1996,31/12/9998,30/09/2015
ALXN,899866,"ALEXION PHARMACEUTICALS, INC.",2834,106002,NASDAQ,28/02/1996,28/07/2021,30/09/2021
AM,1623925,Antero Midstream Corp,4922,107003,NYSE,05/11/2014,31/12/9998,30/09/2015
AMAG,792977,AMAG Pharmaceuticals Inc,2834,106005,NASDAQ,12/06/1986,31/12/9998,30/09/2015
AMAG,792977,"AMAG PHARMACEUTICALS, INC.",2834,999999,NASDAQ,12/06/1986,16/11/2020,30/09/2021
AMAT,6951,Applied Materials Inc,3674,101004,NASDAQ,07/09/1984,31/12/9998,30/09/2015
AMBA,1280263,Ambarella Inc,3674,101004,NASDAQ,10/10/2012,31/12/9998,30/09/2015
AMBC,874501,Ambac Financial Group Inc,6351,999999,NYSE,01/05/2013,31/12/9998,30/09/2015
AMC,1411579,AMC Entertainment Holdings Inc - Class A,7830,103001,NYSE,18/12/2013,31/12/9998,30/09/2015
AMCR,1748790,Amcor plc,3990,999999,NYSE,11/06/2019,31/12/9998,30/09/2019
AMCX,1514991,AMC Networks Inc,4841,103001,NASDAQ,16/06/2011,31/12/9998,30/09/2015
AMD,2488,Advanced Micro Devices Inc,3674,101004,NASDAQ,21/03/1983,31/12/9998,30/09/2015
AME,1037868,AMETEK Inc,3621,100001,NYSE,19/07/1984,31/12/9998,30/09/2015
AMED,896262,Amedisys Inc,8082,106011,NASDAQ,18/08/1994,31/12/9998,30/09/2015
AMG,1004434,Affiliated Managers Group Inc,6282,104001,NYSE,21/11/1997,31/12/9998,30/09/2015
AMGN,318154,Amgen Inc,2836,106002,NASDAQ,07/09/1984,31/12/9998,30/09/2015
AMH,1562401,American Homes 4 Rent Class A,6798,109001,NYSE,01/08/2013,31/12/9998,30/09/2015
AMKR,1047127,Amkor Technology Inc,3674,101004,NASDAQ,01/05/1998,31/12/9998,30/09/2015
AMN,1142750,AMN Healthcare Services Inc,7363,100011,NYSE,13/11/2001,31/12/9998,30/09/2015
AMOT,46129,Allied Motion Technologies Inc,3825,101001,NASDAQ,25/02/1992,31/12/9998,30/09/2015
AMP,820027,Ameriprise Financial Inc,6282,104001,NYSE,15/09/2005,31/12/9998,30/09/2015
AMRK,1591588,AMark Precious Metals Inc,5094,104003,NASDAQ,17/03/2014,31/12/9998,30/09/2015
AMRN,897448,AMARIN CORP PLCUK,2834,999999,NASDAQ,05/04/1993,31/12/9998,30/09/2015
AMRX,1723128,Amneal Pharmaceuticals Inc Class A,2834,106005,NYSE,15/01/2009,31/12/9998,30/09/2015
AMSC,880807,American Superconductor Corp,3621,101001,NASDAQ,12/12/1991,31/12/9998,30/09/2015
AMSF,1018979,Amerisafe Inc,6331,104006,NASDAQ,18/11/2005,31/12/9998,30/09/2015
AMSWA,713425,American Software Inc,7372,101003,NASDAQ,07/09/1984,31/12/9998,30/09/2015
AMT,1053507,American Tower Corp,6798,108001,NYSE,27/02/1998,31/12/9998,30/09/2015
AMTD,1173431,TD Ameritrade Holding Corp,6211,104003,NASDAQ,04/03/1997,31/12/9998,30/09/2015
AMTD,1173431,TD AMERITRADE HOLDING CORP,6211,104003,NASDAQ,04/03/1997,07/10/2020,30/09/2021
AMWD,794619,American Woodmark Corp,2430,103004,NASDAQ,21/07/1986,31/12/9998,30/09/2015
AMZN,1018724,Amazoncom Inc,5961,103002,NASDAQ,15/05/1997,31/12/9998,30/09/2015
AN,350698,AutoNation Inc,5500,103005,NYSE,03/03/1992,31/12/9998,30/09/2015
ANAB,1370053,AnaptysBio Inc,2834,106005,NASDAQ,26/01/2017,31/12/9998,30/09/2017
ANAT,904163,American National Group Inc,6311,104004,NASDAQ,07/09/1984,31/12/9998,30/09/2015
ANAT,1801075,American National Group Inc,6311,999999,NASDAQ,07/09/1984,31/12/9998,30/09/2015
ANDE,821026,The Andersons Inc,5150,102001,NASDAQ,20/02/1996,31/12/9998,30/09/2015
ANDV,50104,Andeavor Corp,2911,107001,NYSE,06/04/1983,28/09/2018,30/09/2018
ANDX,1507615,Andeavor Logistics LP representing Limited Partner Interests,4610,107003,NYSE,20/04/2011,07/08/2019,30/09/2019
ANET,1596532,Arista Networks Inc,3576,101001,NYSE,06/06/2014,31/12/9998,30/09/2015
ANF,1018840,Abercrombie Fitch Company,5651,103002,NYSE,26/09/1996,31/12/9998,30/09/2015
ANGI,1705110,ANGI Homeservices Inc Class A,7310,101002,NASDAQ,17/11/2011,31/12/9998,30/09/2015
ANGO,1275187,Angiodynamic Inc,3841,106004,NASDAQ,01/06/2004,31/12/9998,30/09/2015
ANIK,898437,Anika Therapeutics Inc,3841,106002,NASDAQ,04/05/1993,31/12/9998,30/09/2015
ANSS,1013462,ANSYS Inc,7372,101003,NASDAQ,21/06/1996,31/12/9998,30/09/2015
ANTM,1156039,Anthem Inc,6324,106006,NYSE,02/01/2001,31/12/9998,30/09/2015
AOBC,1092796,NVS,3480,100008,NVS,01/01/1900,01/01/1900,30/09/2015
AON,315293,Aon plc,6411,104003,NYSE,07/09/1984,31/12/9998,30/09/2015
AOS,91142,AO Smith Corp,3630,100001,NYSE,07/09/1984,31/12/9998,30/09/2015
AOSL,1387467,Alpha & Omega Semiconductor Ltd,3674,101004,NASDAQ,29/04/2010,31/12/9998,30/09/2015
APA,6769,Apache Corp,1311,107002,NYSE,15/05/1979,31/12/9998,30/09/2015
APA,1841666,APA Corp,1311,107002,NASDAQ,15/05/1979,31/12/9998,30/09/2015
APAM,1517302,Artisan Partners Asset Management Inc,6282,104001,NYSE,07/03/2013,31/12/9998,30/09/2015
APC,773910,Anadarko Petroleum Corp,1311,107002,NYSE,09/09/1986,08/08/2019,30/09/2019
APD,2969,Air Products Chemicals Inc,2810,110001,NYSE,06/04/1983,31/12/9998,30/09/2015
APH,820313,Amphenol Corp,3678,101001,NYSE,08/11/1991,31/12/9998,30/09/2015
APLE,1418121,Apple Hospitality REIT Inc,6798,109001,NYSE,18/05/2015,31/12/9998,30/09/2015
APO,1411494,Apollo Global Management LLC,6282,104001,NYSE,30/03/2011,31/12/9998,30/09/2015
APOG,6845,Apogee Enterprises Inc,3231,110005,NASDAQ,03/05/1973,31/12/9998,30/09/2015
APOL,929887,Apollo Education Group Inc,8200,102006,NASDAQ,04/01/2016,09/02/2017,30/09/2017
APPF,1433195,AppFolio Inc,7372,101003,NASDAQ,26/06/2015,31/12/9998,30/09/2015
APPN,1441683,Appian Corp Class A,7372,101003,NASDAQ,25/05/2017,31/12/9998,30/09/2017
APPS,317788,"Digital Turbine, Inc.",6794,101003,NASDAQ,30/06/2006,31/12/9998,30/09/2015
APRN,1701114,Blue Apron Inc,5961,103002,NYSE,29/06/2017,31/12/9998,30/09/2017
APTI,1419625,Crown City Pictures Inc,7372,101003,NASDAQ,23/09/2016,10/01/2019,30/09/2019
APTV,1521332,Aptiv PLC,3714,103005,NYSE,17/11/2011,31/12/9998,30/09/2015
APU,932628,AmeriGas Partners LP,5990,105001,NYSE,12/04/1995,21/08/2019,30/09/2019
AQUA,1604643,Evoqua Water Technologies Corp.,3580,999999,NYSE,02/11/2017,31/12/9998,30/09/2018
AR,1433270,Antero Resources Corp,1311,107002,NYSE,10/10/2013,31/12/9998,30/09/2015
ARA,1498068,ARACRUZ CELLULOSE S A,8090,106001,NYSE,21/04/2016,31/12/9998,30/09/2016
ARAY,1138723,Accuray Inc,3841,106004,NASDAQ,08/02/2007,31/12/9998,30/09/2015
ARCB,894405,ArcBest Corp,4213,100010,NASDAQ,13/05/1992,31/12/9998,30/09/2015
ARCH,1037676,ARCH COAL INC,9999,999999,NYSE,05/10/2016,31/12/9998,30/09/2017
ARCP,1507385,"VEREIT, Inc.",6798,999999,NASDAQ,09/09/2011,30/07/2015,30/09/2015
ARCPP,1507385,"VEREIT, Inc.",6798,999999,NASDAQ,06/01/2014,30/07/2015,30/09/2015
ARCW,9000010,NVS,9999,100001,NVS,01/01/1900,01/01/1900,30/09/2015
ARE,1035443,Alexandria Real Estate Equities Inc,6798,109001,NYSE,28/05/1997,31/12/9998,30/09/2015
ARES,1176948,Ares Management LP,6282,104001,NYSE,02/05/2014,31/12/9998,30/09/2015
AREX,1405073,NVS,1311,107002,NVS,01/01/1900,01/01/1900,30/09/2015
ARG,804212,Airgas Inc,9999,110001,NYSE,22/12/1986,31/05/2016,30/09/2016
ARGO,1091748,Argo Group International Holdings Ltd,6361,999999,NYSE,07/08/2007,31/12/9998,30/09/2015
ARI,1467760,Apollo Commercial Real Estate Finance Inc,6798,109001,NYSE,24/09/2009,31/12/9998,30/09/2015
ARLP,1086600,Alliance Resource Partners LP,1221,110006,NASDAQ,17/08/1999,31/12/9998,30/09/2015
ARMK,1584509,Aramark,5812,103003,NYSE,12/12/2013,31/12/9998,30/09/2015
ARMK_old,1584509,NVS,9999,103003,NVS,01/01/1900,01/01/1900,30/09/2015
ARNA,1080709,Arena Pharmaceuticals Inc,2834,106002,NASDAQ,28/07/2000,31/12/9998,30/09/2015
